country,house_style,climate_zone,plot_length_ft,plot_width_ft,num_floors,floor_height_ft,num_bedrooms,num_bathrooms,num_living_rooms,has_kitchen,has_dining,has_garage,has_garden,has_balcony,has_basement,has_swimming_pool,wall_material,roof_type,floor_material,num_windows,num_doors,window_type,quality_grade,year_built,furniture_included,furniture_style,plot_area_sqft,plot_area_cents,building_footprint,total_built_area,total_rooms,construction_cost_usd,construction_days,cost_per_sqft
USA,Colonial,Continental,110.8,98.8,1,9,6,1,1,1,1,1,1,0,0,0,Concrete Block,Hip,Marble,6,18,Single Hung,Luxury,1988,0,Traditional,10947.039999999999,25.13,5627.0,5627.0,11,1578970.0,242,280.61
India,Victorian,Tropical,103.7,46.1,2,10,1,5,1,1,1,0,1,1,1,0,Steel Frame,Flat,Ceramic Tile,28,18,Single Hung,Premium,1974,0,Modern,4780.570000000001,10.97,1917.0,3834.0,9,356980.0,225,93.11
Italy,Contemporary,Temperate,118.5,113.3,1,11,4,1,1,1,1,1,1,1,1,0,Red Brick,Shed,Hardwood,21,16,Casement,Premium,2022,0,Contemporary,13426.05,30.82,6753.0,6753.0,9,1734426.0,305,256.84
India,Modern,Arid,117.8,48.0,1,10,3,2,1,1,1,1,1,0,0,0,Wood Frame,Hip,Ceramic Tile,11,10,Double Hung,Standard,1972,1,Rustic,5654.4,12.98,3154.0,3154.0,9,235347.0,166,74.62
USA,Cottage,Continental,133.6,111.3,2,10,6,3,1,1,1,1,0,1,1,0,Concrete Block,Flat,Ceramic Tile,13,5,Double Hung,Premium,1988,1,Rustic,14869.679999999998,34.14,7095.0,14190.0,13,2592060.0,537,182.67
USA,Cottage,Temperate,140.7,83.4,2,9,6,2,2,1,1,1,0,1,0,0,Wood Frame,Hip,Ceramic Tile,11,8,Double Hung,Premium,2014,0,Traditional,11734.38,26.94,7813.0,15626.0,13,2542218.0,567,162.69
India,Minimalist,Mediterranean,123.0,88.4,2,10,5,2,1,1,1,0,0,1,0,0,Concrete Block,Hip,Ceramic Tile,9,16,Double Hung,Standard,2002,0,Modern,10873.2,24.96,4364.0,8728.0,10,303331.0,368,34.75
USA,Mediterranean,Continental,57.9,35.4,2,10,1,2,2,1,1,1,1,1,1,0,Red Brick,Flat,Marble,23,8,Casement,Luxury,1999,1,Traditional,2049.66,4.71,916.0,1832.0,8,674425.0,178,368.14
USA,Ranch,Tropical,85.6,31.2,2,11,2,3,1,1,1,1,1,1,1,0,Concrete Block,Gable,Ceramic Tile,17,18,Single Hung,Luxury,2001,0,Minimalist,2670.72,6.13,1214.0,2428.0,9,717187.0,187,295.38
Spain,Craftsman,Continental,107.0,117.0,2,9,4,3,1,1,1,0,1,1,1,1,Concrete Block,Gable,Ceramic Tile,11,7,Sliding,Standard,1992,0,Modern,12519.0,28.74,6123.0,12246.0,10,1328605.0,515,108.49
India,Craftsman,Temperate,94.7,57.0,2,12,2,2,1,1,1,1,1,1,1,0,Wood Frame,Flat,Ceramic Tile,25,19,Casement,Standard,1988,1,Contemporary,5397.900000000001,12.39,2709.0,5418.0,8,344634.0,280,63.61
UK,Craftsman,Temperate,49.1,105.2,1,10,5,2,1,1,1,0,0,1,0,0,Wood Frame,Hip,Marble,13,19,Single Hung,Standard,2022,0,Traditional,5165.320000000001,11.86,2716.0,2716.0,10,484691.0,153,178.46
Germany,Craftsman,Tropical,100.7,91.9,3,10,4,3,2,1,1,1,1,1,0,0,Red Brick,Hip,Marble,13,6,Casement,Economy,1992,1,Traditional,9254.33,21.25,6022.0,18066.0,12,2630236.0,654,145.59
USA,Traditional,Temperate,136.4,82.4,1,11,2,1,1,1,1,1,1,0,0,0,Wood Frame,Flat,Marble,13,5,Sliding,Premium,1969,1,Modern,11239.36,25.8,4822.0,4822.0,7,940717.0,218,195.09
Italy,Modern,Continental,80.2,90.1,3,9,5,3,1,1,1,1,1,1,0,0,Red Brick,Gable,Ceramic Tile,28,12,Double Hung,Premium,1968,1,Traditional,7226.0199999999995,16.59,3126.0,9378.0,12,2792781.0,394,297.8
UK,Mediterranean,Tropical,110.3,33.5,2,10,3,2,1,1,1,0,1,0,1,0,Red Brick,Gable,Granite,20,10,Single Hung,Economy,2010,1,Modern,3695.0499999999997,8.48,2144.0,4288.0,8,689895.0,236,160.89
Canada,Ranch,Temperate,103.9,64.2,2,11,4,3,1,1,1,1,0,1,0,1,Red Brick,Gable,Vinyl,6,11,Floor to Ceiling,Luxury,1993,1,Contemporary,6670.380000000001,15.31,4375.0,8750.0,11,3403291.0,389,388.95
Australia,Ranch,Temperate,75.2,82.7,2,12,2,4,1,1,1,1,1,1,0,0,Red Brick,Hip,Marble,28,13,Casement,Standard,1968,1,Traditional,6219.040000000001,14.28,4163.0,8326.0,10,1583669.0,356,190.21
Canada,Minimalist,Continental,97.8,107.4,2,11,3,5,1,1,1,1,1,1,0,0,Concrete Block,Shed,Laminate,23,19,Floor to Ceiling,Premium,1963,0,Traditional,10503.72,24.11,5748.0,11496.0,12,2308235.0,437,200.79
Italy,Contemporary,Temperate,55.2,92.9,2,9,4,2,1,1,1,0,0,1,1,0,Stone,Shed,Hardwood,8,12,Single Hung,Premium,2020,1,Modern,5128.080000000001,11.77,2269.0,4538.0,9,1767632.0,246,389.52
UK,Cottage,Continental,95.5,49.0,2,10,3,1,1,1,1,1,1,1,0,0,Concrete Block,Hip,Ceramic Tile,18,5,Casement,Standard,1989,1,Traditional,4679.5,10.74,3079.0,6158.0,8,1053407.0,292,171.06
Italy,Cottage,Mediterranean,125.9,118.6,1,10,2,2,1,1,1,1,1,0,1,0,Red Brick,Gable,Hardwood,7,5,Sliding,Standard,2005,1,Rustic,14931.74,34.28,10210.0,10210.0,8,1946912.0,395,190.69
India,Mediterranean,Continental,121.1,86.1,1,11,4,4,1,1,1,1,0,1,0,0,Wood Frame,Hip,Marble,22,8,Single Hung,Economy,1983,1,Minimalist,10426.71,23.94,6148.0,6148.0,12,244054.0,265,39.7
India,Traditional,Arid,73.0,72.6,1,9,4,4,1,1,1,1,0,1,0,0,AAC Block,Mansard,Ceramic Tile,14,11,Floor to Ceiling,Premium,1961,0,Modern,5299.799999999999,12.17,2251.0,2251.0,12,170555.0,148,75.77
UK,Colonial,Temperate,43.5,99.2,1,12,3,2,1,1,0,1,1,1,0,0,Red Brick,Gable,Marble,28,9,Double Hung,Standard,2002,0,Modern,4315.2,9.91,2617.0,2617.0,8,489529.0,158,187.06
Japan,Victorian,Mediterranean,126.0,82.3,1,10,2,2,1,1,1,0,1,1,0,0,Concrete Block,Flat,Vinyl,18,12,Single Hung,Economy,1983,0,Rustic,10369.8,23.81,5778.0,5778.0,7,731726.0,257,126.64
USA,Mediterranean,Tropical,61.8,92.4,3,10,2,3,1,1,0,1,1,1,1,0,AAC Block,Shed,Ceramic Tile,27,7,Single Hung,Luxury,1999,1,Minimalist,5710.32,13.11,3337.0,10011.0,8,3717246.0,443,371.32
Japan,Colonial,Arid,36.4,83.6,2,9,3,2,2,1,1,1,1,1,0,0,Red Brick,Mansard,Hardwood,26,5,Floor to Ceiling,Economy,2014,0,Modern,3043.0399999999995,6.99,1318.0,2636.0,10,379320.0,189,143.9
Japan,Victorian,Tropical,83.4,42.0,2,9,1,4,1,1,1,1,1,0,0,1,Steel Frame,Gable,Marble,8,19,Sliding,Premium,2002,0,Minimalist,3502.8,8.04,1428.0,2856.0,9,978694.0,217,342.68
Spain,Ranch,Arid,118.7,76.6,2,10,5,4,1,1,0,0,1,1,0,0,Wood Frame,Mansard,Marble,20,19,Single Hung,Premium,2021,1,Contemporary,9092.42,20.87,4097.0,8194.0,11,1686378.0,354,205.81
Canada,Traditional,Mediterranean,127.0,51.9,3,9,3,2,1,1,1,1,1,1,1,0,Red Brick,Flat,Hardwood,10,16,Floor to Ceiling,Economy,2002,0,Minimalist,6591.3,15.13,4438.0,13314.0,9,1617918.0,534,121.52
India,Mediterranean,Mediterranean,147.9,79.2,2,11,4,5,1,1,1,1,1,1,0,0,Concrete Block,Gable,Ceramic Tile,18,15,Casement,Economy,1999,0,Contemporary,11713.68,26.89,6881.0,13762.0,13,351012.0,508,25.51
UK,Craftsman,Mediterranean,52.7,36.9,2,11,3,3,1,1,1,1,1,0,0,0,Concrete Block,Flat,Hardwood,20,7,Single Hung,Premium,1991,1,Contemporary,1944.63,4.46,1064.0,2128.0,10,556394.0,161,261.46
UK,Ranch,Arid,65.3,47.0,1,11,3,4,1,1,1,0,1,1,0,0,AAC Block,Gable,Marble,25,18,Double Hung,Standard,1988,0,Traditional,3069.1,7.05,1663.0,1663.0,10,325818.0,134,195.92
USA,Colonial,Continental,103.1,101.8,2,9,3,5,1,1,0,1,0,0,1,0,Red Brick,Hip,Marble,24,5,Double Hung,Premium,1962,0,Modern,10495.58,24.09,4562.0,9124.0,11,2178435.0,391,238.76
USA,Mediterranean,Tropical,127.4,63.5,2,10,4,3,1,1,1,0,1,1,0,0,Red Brick,Gable,Hardwood,14,15,Casement,Standard,2018,1,Modern,8089.900000000001,18.57,4471.0,8942.0,10,1614313.0,376,180.53
UK,Mediterranean,Continental,58.1,89.0,1,9,4,1,1,1,0,1,1,1,0,0,Wood Frame,Hip,Hardwood,22,17,Sliding,Standard,1987,1,Minimalist,5170.900000000001,11.87,2835.0,2835.0,8,577596.0,173,203.74
UK,Minimalist,Continental,79.2,72.3,2,10,2,5,1,1,1,1,1,1,0,1,Red Brick,Gable,Laminate,23,15,Sliding,Premium,1964,1,Traditional,5726.16,13.15,3947.0,7894.0,11,2140917.0,353,271.21
Italy,Modern,Temperate,79.0,57.4,2,12,3,5,2,1,1,1,0,0,0,0,Steel Frame,Shed,Ceramic Tile,15,6,Floor to Ceiling,Standard,1977,0,Modern,4534.599999999999,10.41,3084.0,6168.0,13,1220382.0,294,197.86
Japan,Ranch,Tropical,122.8,72.0,1,10,4,5,2,1,1,1,0,1,0,0,Red Brick,Gable,Ceramic Tile,11,12,Casement,Economy,1972,1,Rustic,8841.6,20.3,3624.0,3624.0,14,644707.0,185,177.9
UK,Mediterranean,Arid,58.9,102.3,1,11,3,3,1,1,0,1,1,1,1,0,Red Brick,Gable,Granite,6,15,Casement,Standard,1987,0,Contemporary,6025.469999999999,13.83,3411.0,3411.0,9,677708.0,202,198.68
Japan,Cottage,Temperate,146.3,51.8,2,12,2,2,2,1,1,1,0,1,0,0,Red Brick,Hip,Hardwood,29,6,Casement,Standard,1963,1,Rustic,7578.34,17.4,3515.0,7030.0,9,1595610.0,306,226.97
USA,Cottage,Temperate,91.3,65.0,2,10,3,2,1,1,1,1,0,1,0,1,AAC Block,Mansard,Marble,12,8,Single Hung,Standard,2007,1,Rustic,5934.5,13.62,2803.0,5606.0,9,1211424.0,300,216.09
India,Modern,Mediterranean,63.8,44.2,1,9,3,3,2,1,1,1,1,0,0,0,Wood Frame,Gable,Granite,22,8,Single Hung,Premium,1987,1,Minimalist,2819.96,6.47,1210.0,1210.0,11,115078.0,115,95.11
Australia,Mediterranean,Arid,64.1,58.4,2,11,2,3,1,1,0,1,1,1,0,1,Red Brick,Flat,Ceramic Tile,7,11,Casement,Economy,2003,1,Rustic,3743.4399999999996,8.59,2029.0,4058.0,8,564063.0,248,139.0
India,Craftsman,Continental,32.2,109.1,2,10,3,3,1,1,1,1,0,1,0,0,AAC Block,Flat,Laminate,14,5,Double Hung,Economy,1997,0,Contemporary,3513.02,8.06,1427.0,2854.0,10,119135.0,190,41.74
India,Modern,Continental,113.1,99.6,2,10,3,2,1,1,1,1,1,1,0,0,Stone,Flat,Vinyl,9,15,Double Hung,Standard,1963,0,Minimalist,11264.759999999998,25.86,7879.0,15758.0,9,896318.0,573,56.88
Italy,Modern,Continental,123.1,60.5,3,10,2,5,1,1,0,1,0,0,0,0,Red Brick,Gable,Granite,17,13,Casement,Standard,1991,1,Traditional,7447.549999999999,17.1,3943.0,11829.0,10,2283833.0,476,193.07
Canada,Colonial,Mediterranean,33.9,37.6,1,9,4,3,1,1,1,1,0,1,0,0,Red Brick,Hip,Ceramic Tile,26,10,Floor to Ceiling,Premium,1962,1,Traditional,1274.64,2.93,801.0,801.0,11,236881.0,113,295.73
Australia,Colonial,Continental,100.3,64.9,1,11,3,3,1,1,1,1,0,1,0,0,Red Brick,Mansard,Laminate,18,12,Sliding,Premium,2001,1,Rustic,6509.47,14.94,4303.0,4303.0,10,1198758.0,200,278.59
Japan,Contemporary,Tropical,123.8,98.3,1,10,2,3,2,1,1,1,1,1,1,0,Steel Frame,Shed,Granite,28,9,Floor to Ceiling,Standard,1991,0,Contemporary,12169.539999999999,27.94,7415.0,7415.0,10,2169259.0,319,292.55
Australia,Ranch,Continental,75.1,29.2,2,9,5,4,1,1,1,1,0,0,0,0,Red Brick,Gable,Ceramic Tile,25,19,Single Hung,Standard,1988,1,Modern,2192.9199999999996,5.03,1278.0,2556.0,13,516942.0,174,202.25
USA,Victorian,Continental,81.9,95.8,1,11,1,2,2,1,1,1,1,0,0,0,Red Brick,Gable,Hardwood,16,15,Single Hung,Standard,2015,0,Contemporary,7846.02,18.01,3340.0,3340.0,8,482126.0,170,144.35
India,Modern,Tropical,73.4,89.6,2,10,3,3,1,1,0,0,0,1,1,0,Concrete Block,Gable,Ceramic Tile,9,15,Single Hung,Premium,1974,0,Modern,6576.64,15.1,3388.0,6776.0,8,328561.0,319,48.49
USA,Colonial,Mediterranean,67.9,31.1,3,11,3,3,1,1,1,1,1,1,0,0,Red Brick,Hip,Marble,6,11,Single Hung,Economy,2003,1,Rustic,2111.69,4.85,1282.0,3846.0,10,488077.0,234,126.91
India,Traditional,Temperate,88.9,85.4,1,12,4,3,1,1,1,0,1,1,0,0,Red Brick,Hip,Ceramic Tile,8,16,Floor to Ceiling,Standard,1960,0,Traditional,7592.060000000001,17.43,4221.0,4221.0,10,147987.0,199,35.06
Japan,Contemporary,Arid,49.9,53.4,3,10,3,2,1,1,1,1,1,1,0,0,Concrete Block,Gable,Vinyl,27,14,Double Hung,Luxury,1999,0,Modern,2664.66,6.12,1265.0,3795.0,9,1285664.0,234,338.78
USA,Mediterranean,Mediterranean,82.9,41.8,2,9,3,3,1,1,1,1,1,1,1,0,Concrete Block,Flat,Granite,16,17,Single Hung,Standard,1992,0,Modern,3465.22,7.96,1605.0,3210.0,10,405326.0,218,126.27
Italy,Ranch,Continental,143.0,61.6,1,10,5,2,1,1,1,0,1,1,1,0,Concrete Block,Flat,Ceramic Tile,11,6,Double Hung,Economy,1980,0,Modern,8808.800000000001,20.22,5020.0,5020.0,10,544778.0,238,108.52
Germany,Mediterranean,Temperate,33.3,44.5,2,9,2,4,1,1,1,0,1,1,1,0,Concrete Block,Shed,Ceramic Tile,29,10,Floor to Ceiling,Standard,1978,0,Rustic,1481.85,3.4,597.0,1194.0,9,207779.0,141,174.02
France,Contemporary,Arid,49.8,103.3,1,9,2,3,1,1,1,1,1,1,0,0,Concrete Block,Gable,Hardwood,28,11,Casement,Standard,2023,1,Modern,5144.339999999999,11.81,3556.0,3556.0,9,723898.0,191,203.57
Japan,Minimalist,Arid,123.3,95.5,2,11,4,4,1,1,0,1,1,1,0,0,Wood Frame,Hip,Marble,24,14,Floor to Ceiling,Premium,1977,0,Minimalist,11775.15,27.03,8045.0,16090.0,11,4064490.0,578,252.61
Canada,Cottage,Arid,45.8,118.2,3,12,4,1,1,1,1,1,1,0,0,0,Steel Frame,Hip,Laminate,13,6,Single Hung,Premium,1962,1,Rustic,5413.5599999999995,12.43,3594.0,10782.0,9,3097936.0,450,287.32
USA,Ranch,Tropical,62.6,75.7,3,10,5,2,1,1,1,1,1,1,0,0,Red Brick,Hip,Hardwood,16,12,Sliding,Standard,1962,0,Rustic,4738.820000000001,10.88,2236.0,6708.0,11,978188.0,331,145.82
Spain,Cottage,Tropical,84.6,33.5,1,11,6,2,1,1,0,0,1,1,0,1,Wood Frame,Gable,Laminate,9,12,Floor to Ceiling,Standard,1993,1,Minimalist,2834.1,6.51,1486.0,1486.0,10,275519.0,158,185.41
USA,Traditional,Temperate,143.2,59.9,1,11,3,2,1,1,0,1,1,1,1,0,Wood Frame,Shed,Marble,13,6,Casement,Economy,1969,0,Rustic,8577.679999999998,19.69,4857.0,4857.0,8,549767.0,232,113.19
Spain,Mediterranean,Continental,52.0,104.7,3,9,3,4,1,1,1,1,0,1,1,0,AAC Block,Hip,Marble,11,17,Sliding,Premium,2021,0,Contemporary,5444.400000000001,12.5,3138.0,9414.0,11,1812322.0,409,192.51
UK,Minimalist,Temperate,140.8,62.7,2,9,5,4,1,1,1,1,1,1,0,0,Concrete Block,Flat,Hardwood,6,16,Double Hung,Premium,2024,1,Traditional,8828.160000000002,20.27,5064.0,10128.0,13,2143815.0,412,211.67
Canada,Traditional,Continental,116.2,68.3,2,10,5,4,1,1,0,1,1,0,0,1,Red Brick,Flat,Vinyl,9,17,Casement,Standard,2013,1,Rustic,7936.46,18.22,4177.0,8354.0,12,1495426.0,382,179.01
Germany,Victorian,Mediterranean,110.5,64.1,2,9,3,2,1,1,1,0,1,0,0,1,Red Brick,Flat,Granite,20,6,Casement,Standard,1985,1,Traditional,7083.049999999999,16.26,3410.0,6820.0,8,1543062.0,334,226.26
USA,Mediterranean,Arid,116.8,47.4,2,11,2,2,1,1,1,1,1,1,1,1,Red Brick,Gable,Vinyl,10,9,Single Hung,Premium,1980,1,Rustic,5536.32,12.71,3757.0,7514.0,8,1926893.0,373,256.44
India,Contemporary,Arid,33.7,32.0,2,10,4,3,1,1,1,0,0,1,0,0,AAC Block,Gable,Ceramic Tile,28,15,Sliding,Premium,1982,1,Rustic,1078.4,2.48,648.0,1296.0,10,118652.0,133,91.55
Italy,Minimalist,Tropical,41.9,42.2,2,9,3,2,1,1,1,1,1,1,1,1,Wood Frame,Flat,Ceramic Tile,27,6,Double Hung,Premium,1993,1,Traditional,1768.18,4.06,1078.0,2156.0,9,661645.0,196,306.89
India,Ranch,Mediterranean,70.2,59.6,1,10,5,1,1,1,0,1,1,1,1,0,Concrete Block,Flat,Hardwood,11,19,Double Hung,Standard,2006,1,Minimalist,4183.92,9.6,1808.0,1808.0,9,149616.0,142,82.75
Canada,Minimalist,Mediterranean,38.9,48.3,2,10,5,5,1,1,0,1,0,1,1,0,Concrete Block,Flat,Ceramic Tile,20,13,Casement,Premium,2007,1,Modern,1878.87,4.31,947.0,1894.0,13,490209.0,166,258.82
Japan,Mediterranean,Continental,148.5,79.4,2,10,5,2,1,1,1,1,1,1,0,0,Concrete Block,Hip,Hardwood,20,9,Floor to Ceiling,Premium,1977,1,Minimalist,11790.900000000001,27.07,8187.0,16374.0,11,4588637.0,589,280.24
India,Colonial,Mediterranean,99.6,83.3,3,11,2,3,2,1,0,1,0,1,0,0,AAC Block,Gable,Hardwood,26,9,Casement,Premium,1961,0,Rustic,8296.679999999998,19.05,4311.0,12933.0,9,844095.0,501,65.27
UK,Traditional,Tropical,88.5,79.2,3,10,5,2,1,1,1,1,1,1,0,1,Red Brick,Hip,Ceramic Tile,28,7,Floor to Ceiling,Standard,1989,0,Traditional,7009.2,16.09,4738.0,14214.0,11,2430538.0,574,171.0
USA,Minimalist,Continental,124.3,33.1,1,10,4,2,1,1,1,1,1,1,0,0,Steel Frame,Gable,Vinyl,29,6,Floor to Ceiling,Standard,2000,0,Rustic,4114.33,9.45,2803.0,2803.0,10,546059.0,165,194.81
Spain,Cottage,Temperate,147.2,88.4,2,10,3,5,1,1,1,1,1,1,0,0,Red Brick,Hip,Marble,7,11,Casement,Premium,1981,1,Traditional,13012.48,29.87,6134.0,12268.0,12,2783363.0,473,226.88
India,Traditional,Continental,144.6,61.5,3,11,3,2,1,1,1,1,1,0,0,0,Concrete Block,Gable,Ceramic Tile,23,7,Double Hung,Premium,1998,0,Minimalist,8892.9,20.42,5759.0,17277.0,9,855729.0,635,49.53
India,Cottage,Temperate,125.2,108.4,1,10,3,3,1,1,1,1,1,1,1,0,AAC Block,Gable,Ceramic Tile,13,13,Floor to Ceiling,Premium,1982,1,Contemporary,13571.68,31.16,7254.0,7254.0,10,580989.0,319,80.09
India,Minimalist,Continental,75.3,74.9,3,9,4,3,1,1,1,1,1,1,0,0,AAC Block,Mansard,Vinyl,8,18,Double Hung,Standard,2015,0,Minimalist,5639.97,12.95,3106.0,9318.0,11,417052.0,402,44.76
Japan,Colonial,Arid,37.9,33.0,2,9,3,2,2,1,1,1,1,1,0,0,AAC Block,Hip,Ceramic Tile,24,16,Casement,Premium,1985,0,Contemporary,1250.7,2.87,649.0,1298.0,10,380724.0,141,293.32
Canada,Traditional,Temperate,41.8,25.9,2,10,3,3,1,1,1,0,0,1,1,0,Steel Frame,Flat,Marble,18,8,Sliding,Premium,1979,1,Rustic,1082.62,2.49,730.0,1460.0,9,514685.0,157,352.52
Italy,Contemporary,Tropical,30.1,91.7,2,12,5,3,2,1,1,1,1,1,0,0,Red Brick,Flat,Ceramic Tile,10,11,Double Hung,Economy,1973,0,Minimalist,2760.17,6.34,1804.0,3608.0,13,456255.0,211,126.46
India,Traditional,Temperate,30.2,63.0,3,11,5,5,1,1,1,0,0,1,0,0,Concrete Block,Gable,Granite,28,18,Sliding,Standard,2013,1,Traditional,1902.6,4.37,1089.0,3267.0,13,177273.0,227,54.26
Canada,Ranch,Temperate,142.4,52.4,1,10,4,3,1,1,1,1,1,0,1,1,Concrete Block,Gable,Ceramic Tile,11,14,Casement,Luxury,1966,1,Contemporary,7461.76,17.13,3937.0,3937.0,11,1203843.0,238,305.78
Spain,Minimalist,Continental,141.2,67.5,2,11,4,2,1,1,1,0,1,1,0,0,Wood Frame,Flat,Hardwood,19,13,Double Hung,Standard,1960,0,Modern,9531.0,21.88,5228.0,10456.0,9,1314865.0,418,125.75
Japan,Victorian,Arid,110.1,31.9,1,10,4,2,1,1,0,1,0,1,1,1,Concrete Block,Gable,Laminate,9,17,Sliding,Standard,1963,0,Minimalist,3512.1899999999996,8.06,1614.0,1614.0,9,373539.0,161,231.44
Italy,Mediterranean,Continental,117.2,62.2,2,11,5,2,1,1,1,1,1,1,1,0,AAC Block,Gable,Ceramic Tile,26,6,Single Hung,Standard,1985,1,Contemporary,7289.84,16.74,4717.0,9434.0,11,1901455.0,408,201.55
USA,Modern,Continental,91.6,54.9,1,10,5,1,2,1,1,0,0,0,0,1,Red Brick,Hip,Marble,6,11,Casement,Standard,1989,0,Rustic,5028.839999999999,11.54,2681.0,2681.0,10,412881.0,184,154.0
USA,Craftsman,Arid,58.5,101.0,1,10,3,2,1,1,1,1,1,0,1,0,Wood Frame,Mansard,Hardwood,19,6,Single Hung,Premium,1990,0,Rustic,5908.5,13.56,3892.0,3892.0,9,757206.0,203,194.55
Canada,Victorian,Continental,139.7,41.6,3,10,3,2,1,1,1,1,1,1,0,0,Red Brick,Gable,Vinyl,19,6,Sliding,Premium,1979,1,Minimalist,5811.5199999999995,13.34,2540.0,7620.0,9,1980825.0,350,259.95
India,Cottage,Arid,63.3,96.9,2,10,4,4,2,1,1,0,0,0,1,0,Red Brick,Flat,Hardwood,10,10,Single Hung,Economy,2015,0,Modern,6133.77,14.08,3543.0,7086.0,12,234541.0,318,33.1
Canada,Contemporary,Tropical,118.8,72.5,2,11,3,1,1,1,1,0,1,1,0,0,Concrete Block,Gable,Ceramic Tile,19,13,Double Hung,Luxury,1982,1,Traditional,8613.0,19.77,3935.0,7870.0,7,2100999.0,328,266.96
Germany,Contemporary,Arid,59.5,32.8,1,12,3,2,1,1,1,1,1,1,1,0,Red Brick,Shed,Ceramic Tile,6,10,Casement,Standard,1980,0,Minimalist,1951.6,4.48,1003.0,1003.0,9,242974.0,131,242.25
USA,Craftsman,Mediterranean,134.4,117.1,2,10,5,2,1,1,1,1,1,1,0,1,Red Brick,Gable,Marble,15,8,Double Hung,Premium,2012,1,Traditional,15738.24,36.13,10726.0,21452.0,11,5113183.0,762,238.35
Canada,Colonial,Arid,108.1,94.7,2,9,5,3,1,1,1,0,1,1,0,0,Wood Frame,Flat,Hardwood,12,5,Sliding,Standard,1960,0,Modern,10237.07,23.5,5450.0,10900.0,11,1727321.0,431,158.47
India,Ranch,Arid,107.1,49.7,2,10,3,2,1,1,1,1,1,0,0,0,Steel Frame,Flat,Laminate,14,17,Floor to Ceiling,Luxury,1960,1,Minimalist,5322.87,12.22,3565.0,7130.0,9,820293.0,317,115.05
India,Mediterranean,Mediterranean,41.7,80.3,1,10,2,1,1,1,1,1,0,1,1,0,Wood Frame,Gable,Laminate,12,19,Floor to Ceiling,Premium,2013,0,Contemporary,3348.51,7.69,1964.0,1964.0,7,151817.0,162,77.3
Australia,Victorian,Arid,80.3,110.5,1,10,1,4,1,1,1,1,1,0,0,0,Red Brick,Gable,Granite,23,16,Floor to Ceiling,Luxury,2024,0,Contemporary,8873.15,20.37,5241.0,5241.0,9,1549405.0,237,295.63
Germany,Modern,Temperate,93.0,113.4,3,10,2,3,1,1,1,1,1,1,1,0,Concrete Block,Flat,Ceramic Tile,24,7,Casement,Premium,2014,1,Minimalist,10546.2,24.21,4269.0,12807.0,9,2966212.0,522,231.61
USA,Traditional,Continental,65.3,94.5,1,10,2,1,1,1,1,1,1,1,1,0,Wood Frame,Flat,Vinyl,7,10,Single Hung,Premium,2002,0,Contemporary,6170.849999999999,14.17,3001.0,3001.0,7,634127.0,179,211.31
India,Craftsman,Continental,135.7,94.1,2,11,4,3,1,1,1,1,1,1,0,0,AAC Block,Gable,Marble,23,8,Floor to Ceiling,Premium,2001,0,Modern,12769.369999999999,29.31,6545.0,13090.0,11,804548.0,499,61.46
France,Colonial,Tropical,130.5,51.3,1,11,3,2,1,1,1,1,1,1,0,1,Stone,Mansard,Ceramic Tile,6,16,Sliding,Premium,1965,1,Traditional,6694.65,15.37,3554.0,3554.0,9,1652677.0,212,465.02
France,Contemporary,Tropical,89.2,119.0,1,11,4,5,2,1,1,1,1,0,1,0,Red Brick,Hip,Hardwood,29,14,Casement,Premium,2020,1,Traditional,10614.800000000001,24.37,4887.0,4887.0,14,1551986.0,235,317.57
France,Modern,Mediterranean,70.8,48.1,1,9,3,3,1,1,1,1,1,1,0,0,Steel Frame,Hip,Hardwood,13,10,Single Hung,Economy,1968,0,Rustic,3405.48,7.82,2138.0,2138.0,10,360249.0,136,168.5
USA,Contemporary,Temperate,126.2,33.5,3,10,5,2,2,1,0,1,1,0,0,0,Stone,Flat,Ceramic Tile,22,19,Double Hung,Premium,1985,0,Rustic,4227.7,9.71,2726.0,8178.0,11,2406799.0,365,294.3
UK,Minimalist,Tropical,53.6,117.9,3,9,3,1,1,1,0,0,1,1,1,0,Stone,Mansard,Ceramic Tile,15,10,Single Hung,Standard,2015,1,Modern,6319.4400000000005,14.51,3145.0,9435.0,6,2334527.0,421,247.43
UK,Craftsman,Continental,38.6,39.5,2,11,4,1,1,1,1,1,1,1,0,0,Red Brick,Hip,Ceramic Tile,19,7,Double Hung,Standard,1961,1,Contemporary,1524.7,3.5,966.0,1932.0,9,377794.0,161,195.55
Spain,Colonial,Tropical,35.5,74.6,2,10,3,1,2,1,1,1,0,1,0,0,Concrete Block,Gable,Ceramic Tile,27,12,Casement,Economy,1972,0,Traditional,2648.2999999999997,6.08,1605.0,3210.0,9,288607.0,199,89.91
UK,Traditional,Tropical,34.6,69.5,2,9,5,1,1,1,1,0,1,1,1,0,Red Brick,Flat,Ceramic Tile,23,7,Single Hung,Premium,2012,1,Traditional,2404.7000000000003,5.52,1162.0,2324.0,9,567374.0,191,244.14
USA,Cottage,Arid,88.7,105.6,1,9,4,3,2,1,1,0,1,1,0,0,AAC Block,Hip,Ceramic Tile,7,9,Double Hung,Standard,1970,1,Traditional,9366.72,21.5,4261.0,4261.0,11,869921.0,209,204.16
